,Cloudiness,Country,Humidity,Latitude,Max temp,Windspeed,city
0,40,AR,60,-54.81,42.8,4.7,ushuaia
1,75,CL,100,-53.16,39.2,11.41,punta arenas
2,92,NZ,77,-46.19,45.83,14.65,mataura
3,0,AU,93,-42.88,53.6,2.28,hobart
4,75,US,77,19.71,69.8,4.7,hilo
5,0,ZA,52,-33.93,69.8,14.99,cape town
6,100,KI,99,3.07,83.81,13.47,butaritari
7,92,AU,90,-28.95,63.92,5.08,codrington
8,80,PF,100,-23.12,77.06,10.29,rikitea
9,0,LY,30,31.45,78.77,11.63,mizdah
10,20,GR,33,39.45,71.6,10.29,saint george
11,40,PH,79,17.54,84.2,4.7,san quintin
12,92,AU,100,-33.64,65.09,12.19,busselton
13,88,BR,97,-30.17,69.95,5.64,cidreira
14,1,US,48,32.66,60.8,3.36,fortuna foothills
15,44,AU,62,-33.21,63.65,3.51,jamestown
16,1,US,60,41.28,44.6,17.22,nantucket
17,76,CN,91,29.96,64.28,17.67,shenjiamen
18,24,RU,31,53.11,40.07,7.16,tygda
19,75,CA,77,65.28,1.4,2.24,norman wells
20,92,RU,100,50.68,30.8,10.63,severo-kurilsk
21,20,US,60,42.65,39.2,6.93,albany
22,44,AR,94,-38.31,67.7,4.59,barrow
23,0,NC,83,-21.69,71.6,2.24,moindou
24,0,RU,59,68.75,10.82,2.13,cherskiy
25,80,BR,70,-20.63,71.21,4.25,ponta do sol
26,80,ZA,77,-33.59,74.45,8.61,port alfred
27,75,BN,100,5.28,78.8,3.36,victoria
28,90,RU,93,59.7,41.0,17.9,nikolskoye
29,75,ES,53,29.06,71.6,19.46,teguise
30,75,PT,93,37.14,60.8,12.75,lagoa
31,1,US,56,39.31,44.6,6.93,port elizabeth
32,0,ZA,42,-34.42,73.28,4.81,hermanus
33,40,US,100,29.94,60.8,4.7,chalmette
34,90,CA,81,49.17,48.2,14.99,chilliwack
35,68,RU,89,69.3,18.38,2.62,deputatskiy
36,75,GY,100,6.8,75.2,4.7,georgetown
37,0,GB,63,52.61,64.4,13.87,great yarmouth
38,75,AU,93,-32.72,59.0,4.7,nelson bay
39,20,TT,78,10.24,80.6,11.41,esperance
40,12,AR,68,-46.43,51.68,13.65,mar del plata
41,44,AU,74,-23.58,70.31,9.84,bluff
42,80,CN,91,33.01,72.2,9.17,zhumadian
43,90,RU,74,53.14,33.8,11.18,svetlogorsk
44,0,RU,100,64.42,20.18,22.48,provideniya
45,92,ID,100,-5.67,77.42,8.55,tual
46,0,SN,42,12.49,86.0,6.93,oussouye
47,80,RU,47,42.9,52.04,4.41,preobrazheniye
48,64,GL,91,77.48,5.33,6.15,qaanaaq
49,75,CA,79,63.75,21.2,16.11,iqaluit
50,0,RU,80,71.97,15.41,10.33,saskylakh
51,0,ZA,44,-34.53,75.2,10.29,bredasdorp
52,0,RU,92,65.58,20.18,21.07,lavrentiya
53,0,GB,63,52.47,68.0,13.87,broome
54,75,PR,83,18.43,78.8,8.05,vieques
55,0,PY,76,-26.98,78.86,3.74,san patricio
56,75,ET,82,8.96,60.8,13.87,lebu
57,75,GL,100,65.61,32.0,1.12,tasiilaq
58,0,CZ,41,49.05,77.0,5.82,moravsky krumlov
59,64,RU,84,58.36,43.4,14.36,togur
60,75,NO,74,78.22,30.2,13.87,longyearbyen
61,12,PF,100,-16.48,81.83,6.26,faanui
62,8,NA,91,-22.12,68.06,7.61,henties bay
63,20,CA,89,55.1,32.0,3.24,la ronge
64,64,RU,70,70.62,11.81,6.53,chokurdakh
65,0,UA,79,45.45,61.13,4.52,burevestnik
66,8,MG,100,-19.16,68.06,2.8,mananjary
67,90,US,86,60.79,30.2,11.41,bethel
68,0,IT,29,45.46,80.6,4.7,bose
69,36,GF,100,4.94,75.2,5.41,cayenne
70,48,RU,59,69.7,15.41,5.03,pevek
71,0,SN,42,14.69,84.2,6.93,gat
72,0,KZ,22,43.18,70.4,9.44,karatau
73,0,JP,55,33.93,64.4,9.17,katsuura
74,32,IN,27,15.34,96.05,4.63,vaini
75,90,US,74,61.6,37.4,6.93,palmer
76,0,NO,59,71.0,35.6,10.29,havoysund
77,0,AU,95,-34.72,64.37,9.89,port lincoln
78,92,IN,100,27.93,60.23,1.61,tezu
79,0,TL,81,-8.93,71.48,1.9,airai
80,0,NO,59,70.24,35.6,10.29,oksfjord
81,40,EC,94,-0.74,75.2,3.36,puerto ayora
82,32,IN,73,30.78,54.47,0.38,lata
83,44,KZ,58,43.35,60.14,11.07,zhanaozen
84,75,IS,100,63.44,44.6,11.41,vestmannaeyjar
85,64,RU,96,73.51,17.66,18.57,dikson
86,75,US,88,22.08,73.4,17.22,kapaa
87,0,UA,80,45.05,59.78,5.59,novikovo
88,12,CN,37,44.81,50.87,10.67,kaitong
89,0,MA,86,29.7,62.48,5.82,tiznit
90,48,PF,100,-9.8,80.66,17.45,atuona
91,24,RU,43,56.96,49.88,8.43,novobiryusinskiy
92,36,ES,44,38.23,69.5,10.29,bajil
93,88,CL,95,-42.48,52.13,8.61,castro
94,68,SB,100,-8.15,79.31,8.16,buala
95,20,CA,78,62.45,10.4,9.17,yellowknife
96,90,US,87,36.67,51.8,3.02,salinas
97,0,AO,97,-15.19,80.75,6.26,namibe
98,0,IN,100,11.67,85.79,3.58,port blair
99,40,GR,48,35.28,66.2,17.22,malia
100,76,PG,98,-2.02,84.35,7.31,lorengau
101,92,BR,96,-5.2,78.41,9.4,touros
102,32,CA,69,69.44,-11.21,10.29,tuktoyaktuk
103,0,AU,93,-43.03,53.6,1.5,margate
104,0,JP,91,34.7,64.28,18.72,shimoda
105,0,FR,29,45.6,80.6,8.05,souillac
106,80,NU,100,-19.06,77.42,14.92,alofi
107,40,MZ,55,-17.88,86.0,5.82,quelimane
108,0,IT,44,41.54,77.0,8.05,campoverde
109,32,RU,85,63.79,13.88,11.41,muravlenko
110,92,PG,100,-3.66,82.73,6.38,namatanai
111,20,HN,78,15.27,80.6,4.7,puerto lempira
112,0,CL,80,-30.69,42.41,1.39,monte patria
113,0,JP,74,43.32,44.21,17.45,nemuro
114,24,AR,81,-26.79,78.23,10.67,presidencia roque saenz pena
115,80,NZ,95,-45.41,37.91,3.51,te anau
116,75,CA,80,47.66,37.4,23.04,torbay
117,56,RU,70,66.77,26.75,4.41,zhigansk
118,0,CA,77,50.56,33.41,9.66,husavik
119,0,ES,49,39.16,68.0,8.05,cullera
120,44,AR,94,-38.38,67.7,4.59,tres arroyos
121,0,AU,88,-20.31,80.6,6.93,port hedland
122,75,MY,83,5.84,82.4,4.7,sandakan
123,92,ID,99,-3.36,68.6,1.9,nabire
124,80,FO,87,62.23,46.4,13.87,klaksvik
125,8,AU,16,-25.24,84.2,6.93,yulara
126,90,US,93,34.64,50.0,8.05,lompoc
127,100,SY,100,35.3,58.07,4.14,abu samrah
128,56,RU,59,65.99,19.01,5.26,verkhnyaya inta
129,0,NA,35,-17.88,89.21,7.43,ongandjera
130,8,LK,100,6.12,84.35,5.59,hambantota
131,88,BR,87,-22.97,74.99,7.16,arraial do cabo
132,1,US,69,39.62,42.8,2.51,vardo
133,5,CA,68,55.74,30.2,5.26,thompson
134,88,NG,79,5.43,85.7,8.55,naze
135,8,NO,97,70.98,31.97,13.65,honningsvag
136,80,RU,82,67.55,28.01,3.24,verkhoyansk
137,0,FR,41,45.55,75.08,4.07,ussel
138,0,ZA,13,-29.67,81.38,7.38,springbok
139,0,AU,57,-31.97,59.24,6.08,broken hill
140,12,RU,100,68.05,24.14,5.75,ostrovnoy
141,90,CA,90,50.23,32.0,10.29,havre-saint-pierre
142,0,ES,49,38.18,71.6,18.34,fortuna
143,48,IN,94,25.52,71.84,7.31,tura
144,92,SY,68,35.01,63.38,11.86,birin
145,32,CN,79,32.65,68.78,2.06,shiyan
146,68,PT,36,41.42,73.82,9.06,saldanha
147,0,IR,83,25.29,82.91,11.12,chabahar
148,76,MX,28,26.94,60.68,5.41,valle de allende
149,0,MR,19,20.52,87.77,10.11,atar
150,1,CA,66,70.47,10.4,4.7,clyde river
151,0,CM,24,10.34,104.6,7.31,yagoua
152,90,US,100,34.11,55.4,3.36,olga
153,0,ZA,59,-34.0,73.73,5.53,kruisfontein
154,40,AU,93,-34.58,57.2,4.7,flinders
155,0,AU,93,-42.78,53.6,2.62,new norfolk
156,0,NA,92,-26.65,65.72,6.93,luderitz
157,0,ZA,64,-33.02,73.4,10.29,east london
158,20,CA,68,68.22,-16.61,2.24,aklavik
159,90,US,63,30.04,64.4,9.17,nome
160,0,MG,62,-20.3,89.3,9.1,morondava
161,68,PG,100,-2.57,83.9,7.31,kavieng
162,0,NE,15,18.74,100.28,5.93,arlit
163,0,MX,74,27.52,53.75,2.13,laguna
164,8,PE,88,-10.07,59.87,1.61,huarmey
165,80,ID,100,5.56,76.07,2.62,banda aceh
166,0,SE,54,57.64,53.6,8.05,visby
167,8,NZ,65,-39.89,56.09,17.0,otane
